PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",00-0000,All Occupations,total,948970.0,0.6,1000.0,1.0,30.43,63290.0,1.3,10.46,14.27,23.21,38.57,59.73,21750.0,29690.0,48280.0,80230.0,124230.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-0000,Management Occupations,major,70910.0,1.5,74.724,1.577,67.06,139480.0,1.0,29.33,41.26,60.45,#,#,61000.0,85830.0,125740.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1011,Chief Executives,NA,2770.0,4.4,2.924,1.359,101.18,210450.0,2.4,49.92,76.17,#,#,#,103820.0,158420.0,#,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1021,General and Operations Managers,NA,18350.0,2.2,19.339,1.439,71.43,148570.0,1.5,31.16,42.22,62.9,#,#,64820.0,87820.0,130830.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1031,Legislators,NA,140.0,18.0,0.149,0.288,*,62730.0,3.1,*,*,*,*,*,39910.0,47370.0,60960.0,77000.0,92350.0,TRUE,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,NA,620.0,15.4,0.655,2.582,66.83,139010.0,5.1,31.12,41.57,61.84,#,#,64740.0,86470.0,128630.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2021,Marketing Managers,NA,4040.0,6.4,4.258,3.288,77.62,161440.0,2.1,41.05,55.31,72.9,#,#,85380.0,115040.0,151630.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2022,Sales Managers,NA,4690.0,4.6,4.938,1.966,68.75,143010.0,2.8,29.86,39.34,62.89,#,#,62100.0,81820.0,130810.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,NA,1080.0,8.7,1.135,2.698,68.43,142340.0,6.9,31.44,39.9,61.84,#,#,65400.0,82990.0,128620.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3011,Administrative Services Managers,NA,2290.0,5.1,2.41,1.275,50.92,105920.0,2.1,25.74,36.58,48.06,62.37,79.0,53540.0,76080.0,99960.0,129730.0,164310.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,NA,5610.0,3.8,5.912,2.603,75.17,156350.0,1.7,46.83,58.58,70.93,#,#,97400.0,121850.0,147540.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3031,Financial Managers,NA,7910.0,3.8,8.331,2.211,74.77,155520.0,2.1,37.66,49.71,68.36,#,#,78340.0,103400.0,142190.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3051,Industrial Production Managers,NA,710.0,13.7,0.743,0.659,55.49,115410.0,3.9,28.07,38.06,48.97,67.47,#,58380.0,79150.0,101860.0,140340.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3061,Purchasing Managers,NA,450.0,7.9,0.469,0.914,57.98,120610.0,2.5,37.4,47.48,56.85,65.86,78.97,77780.0,98760.0,118250.0,136980.0,164250.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3071,"Transportation, Storage, and Distribution Managers",NA,640.0,8.3,0.671,0.945,48.32,100510.0,3.4,23.69,33.25,43.18,58.98,78.17,49280.0,69150.0,89820.0,122680.0,162590.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3111,Compensation and Benefits Managers,NA,340.0,7.2,0.354,1.508,57.79,120200.0,3.0,33.67,41.52,53.37,64.95,#,70030.0,86360.0,111010.0,135100.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3121,Human Resources Managers,NA,1040.0,6.6,1.091,2.048,67.55,140510.0,2.7,38.49,44.88,60.03,#,#,80050.0,93350.0,124850.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3131,Training and Development Managers,NA,280.0,9.7,0.295,1.336,63.55,132180.0,4.5,34.04,41.56,58.78,75.27,#,70810.0,86440.0,122270.0,156570.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9021,Construction Managers,NA,1320.0,7.8,1.394,0.926,59.6,123970.0,3.6,36.92,44.57,54.62,68.87,#,76800.0,92710.0,113620.0,143240.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9031,"Education Administrators, Preschool and Childcare Center/Program",NA,480.0,13.7,0.504,1.263,34.4,71560.0,12.9,17.88,20.49,25.47,52.94,68.06,37190.0,42620.0,52970.0,110120.0,141560.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9032,"Education Administrators, Elementary and Secondary School",NA,1040.0,4.8,1.094,0.626,*,108000.0,3.7,*,*,*,*,*,77820.0,89220.0,103510.0,123490.0,142510.0,TRUE,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9033,"Education Administrators, Postsecondary",NA,770.0,8.0,0.809,0.932,45.26,94130.0,5.5,23.36,30.77,41.05,56.39,71.5,48590.0,64000.0,85390.0,117280.0,148730.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9039,"Education Administrators, All Other",NA,290.0,18.0,0.31,1.402,33.55,69790.0,7.0,16.57,19.8,31.26,42.62,56.3,34470.0,41170.0,65010.0,88660.0,117100.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9041,Architectural and Engineering Managers,NA,1790.0,6.5,1.891,1.376,73.27,152400.0,3.1,46.89,56.99,69.19,#,#,97530.0,118530.0,143910.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-9051,Food Service Managers,NA,2320.0,9.0,2.442,1.661,29.71,61800.0,3.2,20.77,23.38,27.09,33.54,43.51,43190.0,48640.0,56350.0,69760.0,90510.0,NA,NA
