PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC.QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",00-0000,All Occupations,total,1000430.0,0.7,1000.0,1.0,31.77,66070.0,1.4,10.52,14.56,24.37,41.18,63.32,21880.0,30280.0,50690.0,85660.0,131710.0,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-0000,Management Occupations,major,74790.0,1.5,74.758,1.52,68.54,142570.0,1.2,28.86,41.69,62.28,87.88,#,60030.0,86710.0,129530.0,182780.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1011,Chief Executives,detailed,2470.0,4.2,2.467,1.26,101.61,211350.0,2.4,48.58,72.64,#,#,#,101050.0,151090.0,#,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,19130.0,2.3,19.118,1.31,71.56,148830.0,1.5,29.67,40.01,63.23,#,#,61720.0,83220.0,131520.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-1031,Legislators,detailed,150.0,16.2,0.15,0.35,*,59940.0,3.7,*,*,*,*,*,35410.0,45080.0,59960.0,70220.0,89260.0,TRUE,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,600.0,13.8,0.6,2.75,58.3,121260.0,4.6,31.94,39.9,49.78,70.81,#,66440.0,83000.0,103550.0,147290.0,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2021,Marketing Managers,detailed,3930.0,4.5,3.931,2.99,82.54,171670.0,2.1,43.07,57.05,76.51,#,#,89590.0,118670.0,159130.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2022,Sales Managers,detailed,5270.0,4.5,5.27,1.99,70.37,146380.0,2.3,30.57,41.47,64.82,#,#,63580.0,86270.0,134820.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,1150.0,8.4,1.151,2.8,69.67,144920.0,6.6,31.92,41.56,61.64,#,#,66400.0,86440.0,128200.0,#,#,NA,NA
CA,41884,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,2820.0,4.6,2.82,1.39,55.82,116110.0,1.8,30.24,40.24,52.49,67.15,85.81,62900.0,83710.0,109180.0,139680.0,178480.0,NA,NA
