AREA,ST,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,665850.0,0.6,1000.0,1.0,37.04,77040.0,7.1,11.55,18.08,30.62,49.98,70.1,24030.0,37620.0,63680.0,103950.0,145800.0,,
11,DC,District of Columbia,11-0000,Management Occupations,major,75830.0,0.9,113.881,2.31,63.4,131860.0,1.5,33.62,49.11,61.09,73.39,#,69940.0,102140.0,127070.0,152650.0,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,3680.0,7.4,5.53,2.95,88.75,184600.0,3.1,40.86,59.66,85.1,#,#,84980.0,124090.0,177010.0,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,20890.0,1.9,31.374,2.11,68.29,142050.0,2.7,37.25,52.27,65.44,77.32,#,77480.0,108720.0,136120.0,160820.0,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,210.0,15.2,0.312,1.45,47.11,97990.0,5.1,20.87,28.69,40.38,54.52,87.27,43410.0,59670.0,84000.0,113400.0,181520.0,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1540.0,6.3,2.314,1.76,71.32,148340.0,3.2,35.39,46.35,66.99,87.71,#,73600.0,96400.0,139340.0,182440.0,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,950.0,9.3,1.421,0.53,57.42,119420.0,4.2,24.48,33.82,51.8,71.84,#,50910.0,70350.0,107740.0,149420.0,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,2210.0,7.9,3.316,8.18,71.92,149600.0,4.0,34.44,48.66,66.55,87.27,#,71640.0,101220.0,138420.0,181520.0,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,2170.0,5.1,3.259,1.6,48.6,101080.0,1.9,26.93,34.38,45.32,57.7,73.06,56010.0,71500.0,94270.0,120010.0,151970.0,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,3320.0,3.1,4.992,2.07,68.31,142080.0,2.3,49.33,60.3,69.41,74.76,85.41,102610.0,125410.0,144380.0,155490.0,177650.0,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,6550.0,2.0,9.84,2.61,65.76,136790.0,2.2,41.84,53.88,63.46,73.42,#,87020.0,112070.0,132000.0,152720.0,#,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1570.0,0.9,2.352,4.48,61.87,128680.0,2.9,51.76,55.64,61.83,68.42,74.75,107670.0,115730.0,128610.0,142320.0,155480.0,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,420.0,3.8,0.636,0.82,59.12,122970.0,3.6,38.11,48.52,61.49,71.39,74.76,79260.0,100920.0,127890.0,148500.0,155500.0,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,180.0,15.4,0.27,2.04,48.93,101780.0,2.3,37.18,40.37,45.16,54.33,74.1,77340.0,83980.0,93930.0,113010.0,154140.0,,
11,DC,District of Columbia,11-3121,Human Resources Managers,detailed,1420.0,1.8,2.133,2.56,65.41,136060.0,2.5,38.91,53.09,67.33,74.75,86.4,80920.0,110430.0,140040.0,155490.0,179700.0,,
11,DC,District of Columbia,11-3131,Training and Development Managers,detailed,290.0,11.2,0.437,2.04,57.68,119980.0,4.0,33.23,40.32,49.94,71.95,#,69110.0,83860.0,103880.0,149650.0,#,,
11,DC,District of Columbia,11-9021,Construction Managers,detailed,690.0,14.2,1.043,0.65,51.1,106300.0,5.7,29.32,37.53,46.68,58.89,73.78,60980.0,78060.0,97100.0,122490.0,153460.0,,
11,DC,District of Columbia,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,400.0,41.3,0.594,1.66,25.75,53550.0,6.9,18.67,20.06,22.37,27.6,39.26,38820.0,41730.0,46530.0,57400.0,81650.0,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",detailed,770.0,10.6,1.151,0.67,*,86590.0,5.0,*,*,*,*,*,48560.0,64050.0,85180.0,106810.0,130060.0,True,
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",detailed,1830.0,10.2,2.749,2.89,50.15,104310.0,5.9,22.05,29.62,39.78,60.22,#,45860.0,61600.0,82740.0,125250.0,#,,
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",detailed,970.0,15.6,1.454,6.24,47.35,98490.0,5.3,24.09,31.19,46.8,57.32,69.91,50120.0,64880.0,97340.0,119230.0,145410.0,,
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,detailed,2090.0,4.3,3.136,2.27,64.01,133140.0,2.9,50.59,57.98,65.16,71.4,76.72,105220.0,120600.0,135540.0,148510.0,159570.0,,
11,DC,District of Columbia,11-9051,Food Service Managers,detailed,1650.0,11.0,2.482,1.72,30.81,64080.0,3.5,19.27,22.99,28.71,37.31,45.02,40080.0,47810.0,59720.0,77610.0,93630.0,,
11,DC,District of Columbia,11-9081,Lodging Managers,detailed,160.0,19.2,0.235,1.01,42.49,88380.0,6.0,20.53,25.2,39.08,48.15,69.1,42690.0,52420.0,81280.0,100160.0,143720.0,,
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,detailed,1580.0,5.1,2.374,1.05,59.19,123120.0,4.1,33.59,42.39,54.32,69.41,88.97,69870.0,88180.0,112980.0,144370.0,185060.0,,
11,DC,District of Columbia,11-9121,Natural Sciences Managers,detailed,890.0,2.7,1.336,3.41,59.42,123590.0,4.8,32.88,49.94,62.38,73.38,74.76,68380.0,103870.0,129750.0,152630.0,155500.0,,
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1000.0,11.5,1.506,1.2,39.58,82330.0,4.0,19.85,27.75,37.23,48.51,57.44,41290.0,57720.0,77430.0,100900.0,119480.0,,
11,DC,District of Columbia,11-9151,Social and Community Service Managers,detailed,870.0,11.0,1.301,1.5,39.97,83140.0,5.8,16.56,23.61,36.69,53.15,68.86,34440.0,49120.0,76320.0,110560.0,143230.0,,
11,DC,District of Columbia,11-9161,Emergency Management Directors,detailed,70.0,0.0,0.104,1.41,54.68,113730.0,2.7,28.76,38.51,52.97,69.41,78.5,59830.0,80100.0,110170.0,144380.0,163270.0,,
11,DC,District of Columbia,11-9199,"Managers, All Other",detailed,17410.0,1.2,26.152,10.04,62.22,129410.0,2.6,47.09,53.96,60.7,69.41,74.76,97950.0,112230.0,126250.0,144380.0,155490.0,,
11,DC,District of Columbia,13-0000,Business and Financial Operations Occupations,major,106670.0,1.1,160.197,3.19,42.5,88400.0,3.2,22.91,30.03,39.61,50.88,65.76,47650.0,62470.0,82380.0,105820.0,136770.0,,
11,DC,District of Columbia,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,30.0,29.8,0.045,0.53,32.73,68070.0,11.4,14.46,25.41,32.61,39.34,44.22,30080.0,52850.0,67840.0,81820.0,91970.0,,
11,DC,District of Columbia,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,80.0,19.4,0.114,0.13,25.03,52060.0,9.0,13.32,17.13,22.53,32.47,42.39,27710.0,35620.0,46860.0,67550.0,88160.0,,
11,DC,District of Columbia,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,2490.0,2.5,3.736,1.74,40.59,84430.0,2.7,24.83,31.81,40.8,47.08,55.18,51650.0,66160.0,84870.0,97930.0,114770.0,,
11,DC,District of Columbia,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,590.0,4.2,0.887,0.43,37.17,77320.0,4.0,20.7,27.33,36.04,44.23,49.93,43050.0,56850.0,74960.0,92010.0,103860.0,,
11,DC,District of Columbia,13-1041,Compliance Officers,detailed,3710.0,5.0,5.578,3.13,41.17,85640.0,2.8,24.82,31.22,39.33,48.51,56.49,51630.0,64940.0,81800.0,100900.0,117490.0,,
11,DC,District of Columbia,13-1051,Cost Estimators,detailed,320.0,25.9,0.487,0.32,33.45,69580.0,3.5,21.75,25.13,29.06,42.13,53.34,45250.0,52260.0,60440.0,87630.0,110950.0,,
11,DC,District of Columbia,13-1071,Human Resources Specialists,detailed,6410.0,2.2,9.631,2.99,42.53,88460.0,4.7,22.53,30.08,42.8,52.79,60.7,46870.0,62570.0,89030.0,109810.0,126250.0,,
11,DC,District of Columbia,13-1075,Labor Relations Specialists,detailed,370.0,23.2,0.552,0.96,36.35,75610.0,2.9,21.22,29.22,38.21,42.97,49.91,44140.0,60770.0,79470.0,89380.0,103810.0,,
11,DC,District of Columbia,13-1081,Logisticians,detailed,1070.0,9.0,1.601,1.76,48.01,99850.0,1.8,30.04,37.17,47.23,58.34,68.18,62470.0,77310.0,98230.0,121340.0,141820.0,,
