AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,653760.0,0.7,1000.0,1.0,36.51,75950.0,7.2,11.55,17.64,29.79,49.51,69.56,24020.0,36690.0,61960.0,102980.0,144680.0,,
11,DC,District of Columbia,11-0000,Management Occupations,major,78020.0,1.0,119.333,2.43,62.31,129610.0,1.4,31.26,47.08,60.69,73.39,#,65020.0,97930.0,126240.0,152640.0,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,5010.0,6.5,7.665,3.9,88.93,184980.0,3.2,42.12,58.55,85.09,#,#,87610.0,121780.0,176990.0,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,21380.0,1.8,32.71,2.24,67.87,141170.0,2.6,36.58,52.08,64.07,76.74,#,76080.0,108330.0,133270.0,159630.0,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,260.0,14.7,0.4,1.83,50.98,106040.0,4.1,22.58,32.95,42.37,60.03,#,46970.0,68530.0,88130.0,124850.0,#,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1710.0,6.9,2.621,1.99,72.25,150280.0,3.4,33.63,44.89,66.67,#,#,69950.0,93380.0,138680.0,#,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,1150.0,11.0,1.755,0.66,58.05,120750.0,5.2,23.08,33.4,50.97,73.78,#,48000.0,69470.0,106010.0,153460.0,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,2630.0,7.1,4.029,9.81,60.05,124900.0,4.3,26.08,38.89,58.82,74.95,#,54250.0,80880.0,122350.0,155890.0,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,2490.0,5.3,3.811,1.88,44.45,92460.0,2.1,24.7,31.36,41.09,55.19,69.35,51380.0,65220.0,85460.0,114790.0,144260.0,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,3340.0,2.8,5.108,2.15,65.04,135280.0,2.9,42.38,55.64,67.43,73.93,81.64,88150.0,115730.0,140260.0,153780.0,169810.0,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,6410.0,1.9,9.802,2.63,65.27,135760.0,1.9,41.04,53.57,63.44,73.39,88.54,85360.0,111430.0,131960.0,152640.0,184160.0,,
11,DC,District of Columbia,11-3051,Industrial Production Managers,detailed,50.0,37.0,0.071,0.06,49.02,101950.0,4.0,32.67,39.39,46.03,61.48,69.41,67950.0,81930.0,95740.0,127880.0,144380.0,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1560.0,1.0,2.379,4.47,61.14,127180.0,2.3,50.59,55.63,60.7,67.44,73.39,105220.0,115720.0,126250.0,140270.0,152650.0,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,420.0,3.9,0.647,0.85,59.82,124420.0,3.0,41.39,48.52,61.48,71.39,74.76,86090.0,100920.0,127890.0,148500.0,155500.0,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,220.0,12.5,0.343,2.24,46.42,96560.0,5.9,30.1,37.71,42.72,50.96,68.32,62600.0,78440.0,88870.0,106000.0,142100.0,,
