AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,674650,0.6,1000,1,37.78,78580,6.9,11.42,18,31.2,51.09,72.11,23760,37440,64890,106270,150000,,
11,DC,District of Columbia,11-0000,Management Occupations,major,78640,1.1,116.567,2.34,64.47,134110,1.8,33.34,49.57,61.72,74.85,#,69350,103110,128390,155680,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,3220,6.2,4.771,2.62,87.72,182450,3.5,35.09,63.36,85.69,#,#,73000,131790,178230,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,22620,2,33.526,2.21,69.05,143630,1.7,34.91,52.21,65.4,78.58,#,72610,108600,136020,163460,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,210,12.6,0.312,1.44,50.77,105610,5.8,26.18,38.39,45.43,62.08,83.64,54450,79850,94490,129130,173970,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1430,6.3,2.116,1.55,73.48,152840,3.8,37.07,49.21,68.26,89.18,#,77100,102350,141980,185480,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,980,8.1,1.455,0.55,61,126870,4.1,25.35,35.16,54.43,79.46,#,52720,73140,113210,165280,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,2850,10.9,4.229,10.04,73.48,152840,4.2,32.57,46.9,67.64,#,#,67740,97550,140680,#,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,1910,5.4,2.825,1.42,50.13,104280,2.3,27.75,35.77,46.14,59.3,74.87,57710,74390,95980,123350,155730,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,3400,2.9,5.046,2.06,70.44,146520,2,50.33,62.09,70.11,75.53,89.7,104680,129150,145830,157100,186590,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,6450,2.4,9.566,2.5,68.57,142630,3,46.11,56.19,65.58,75.52,#,95910,116880,136410,157090,#,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1670,1.1,2.474,4.72,62.75,130520,3.1,52.79,56.2,62.1,70.1,75.52,109810,116890,129160,145810,157080,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,460,4.9,0.687,0.88,57.41,119410,4.6,28.23,47.55,60.09,70.11,75.53,58710,98910,124990,145830,157100,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,130,8.7,0.191,1.57,53.12,110490,2.3,37.68,42.54,51.37,61.51,78.13,78380,88490,106850,127930,162510,,
11,DC,District of Columbia,11-3121,Human Resources Managers,detailed,1420,2.1,2.105,2.44,67.34,140070,2.2,42.9,56.31,68.1,75.52,87.57,89240,117120,141660,157090,182150,,
11,DC,District of Columbia,11-3131,Training and Development Managers,detailed,260,14,0.384,1.74,62.59,130190,4.3,37.24,43,53.69,76.1,#,77460,89450,111670,158290,#,,
11,DC,District of Columbia,11-9021,Construction Managers,detailed,640,14.6,0.95,0.56,48.66,101220,3,30.26,37.89,46.48,57.58,71.69,62940,78810,96670,119770,149120,,
11,DC,District of Columbia,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,420,29.4,0.629,1.8,26.64,55420,4.4,18.07,20.46,23.22,31.29,38.75,37580,42550,48290,65080,80590,,
11,DC,District of Columbia,11-9032,"Education Administrators, Elementary and Secondary School",detailed,960,10,1.429,0.83,*,89660,3.9,*,*,*,*,*,49210,66100,86900,110350,133140,True,
11,DC,District of Columbia,11-9033,"Education Administrators, Postsecondary",detailed,1990,3.8,2.948,3.04,49.43,102820,4.6,22.19,28.8,40.58,59.79,#,46150,59910,84410,124370,#,,
11,DC,District of Columbia,11-9039,"Education Administrators, All Other",detailed,810,12.2,1.206,5.1,47.88,99580,5.7,24.1,31.22,47.55,57.84,72.11,50120,64940,98910,120300,149990,,
11,DC,District of Columbia,11-9041,Architectural and Engineering Managers,detailed,2070,5.6,3.063,2.31,64.8,134790,3.1,51.08,59.6,66.41,73.49,78.84,106250,123970,138130,152870,163980,,
11,DC,District of Columbia,11-9051,Food Service Managers,detailed,1410,18.6,2.096,1.43,29.61,61590,2.9,18.12,23.96,27.88,35.09,43.46,37690,49840,57990,72990,90390,,
11,DC,District of Columbia,11-9081,Lodging Managers,detailed,140,15.3,0.201,0.85,44.01,91530,7.7,20.2,24.09,32.6,51.3,85.12,42020,50100,67810,106710,177050,,
11,DC,District of Columbia,11-9111,Medical and Health Services Managers,detailed,1790,9,2.651,1.15,63.06,131160,4.9,38.6,45.8,56.36,72.66,#,80280,95260,117230,151130,#,,
11,DC,District of Columbia,11-9121,Natural Sciences Managers,detailed,970,2.1,1.432,3.63,61.64,128210,3.6,43.23,51.88,63,72.83,75.53,89930,107910,131040,151480,157100,,
11,DC,District of Columbia,11-9141,"Property, Real Estate, and Community Association Managers",detailed,1310,9.6,1.938,1.53,39.8,82780,3.6,20.43,27.04,37.84,49.39,58.72,42500,56240,78710,102720,122130,,
11,DC,District of Columbia,11-9151,Social and Community Service Managers,detailed,1110,9.7,1.639,1.9,42.35,88080,4.7,23.53,30.02,37.66,53.3,68.83,48940,62450,78330,110860,143160,,
11,DC,District of Columbia,11-9161,Emergency Management Directors,detailed,90,6,0.13,1.8,58.96,122630,7.7,34.05,46.93,60.02,72.11,78,70830,97600,124850,150000,162230,,
11,DC,District of Columbia,11-9199,"Managers, All Other",detailed,17870,1.2,26.485,9.89,63.27,131610,3.2,47.56,54.5,61.31,70.11,75.53,98920,113360,127520,145820,157100,,
11,DC,District of Columbia,13-0000,Business and Financial Operations Occupations,major,103260,1.3,153.059,3.03,44.13,91780,1.2,24.43,31.43,41.76,51.88,67.56,50810,65380,86850,107910,140530,,
11,DC,District of Columbia,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,**,**,**,**,35.04,72890,8,25.93,31.68,35.09,38.17,44.01,53940,65900,72980,79380,91540,,
11,DC,District of Columbia,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,**,**,**,**,24.77,51520,4.9,13.12,15.81,22.88,29.4,43.56,27290,32890,47580,61150,90610,,
11,DC,District of Columbia,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,2590,1.7,3.832,1.8,42.25,87880,2.2,26.64,36.35,43.23,47.56,54.8,55420,75610,89930,98920,113990,,
11,DC,District of Columbia,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,550,3.9,0.811,0.41,38.42,79900,4.2,20.5,28.94,37.56,44.84,51.87,42630,60200,78130,93270,107890,,
11,DC,District of Columbia,13-1041,Compliance Officers,detailed,4210,5,6.242,3.42,42.32,88030,2.6,24.92,31.37,39.99,48.44,57.88,51830,65240,83180,100750,120390,,
11,DC,District of Columbia,13-1051,Cost Estimators,detailed,520,30.2,0.765,0.49,37.46,77910,2.7,24.08,27.22,34.4,46.13,57.09,50090,56620,71550,95940,118740,,
11,DC,District of Columbia,13-1071,Human Resources Specialists,detailed,6640,2.5,9.836,2.91,42.57,88540,5,23.01,30.68,42.64,52.8,61.3,47850,63820,88700,109820,127510,,
11,DC,District of Columbia,13-1075,Labor Relations Specialists,detailed,370,12.3,0.554,0.94,36.12,75130,2.7,19.85,28.17,37.54,43.2,51.07,41280,58600,78080,89850,106230,,
11,DC,District of Columbia,13-1081,Logisticians,detailed,1160,10,1.721,1.85,47.23,98230,2.6,29.25,36.36,47.21,57.89,68.11,60840,75620,98200,120420,141660,,
11,DC,District of Columbia,13-1111,Management Analysts,detailed,22070,3.5,32.708,7.52,45.63,94910,2.1,26.13,35.34,44.67,52.75,65.07,54360,73510,92920,109720,135350,,
11,DC,District of Columbia,13-1121,"Meeting, Convention, and Event Planners",detailed,2140,6.7,3.172,5.5,32.69,68000,2,20.83,24.84,30.08,37.79,46.12,43320,51680,62560,78590,95940,,
11,DC,District of Columbia,13-1131,Fundraisers,detailed,1440,11.5,2.136,5.22,38.78,80660,7,18.97,23.13,32.27,45.47,72.08,39470,48100,67110,94580,149940,,
11,DC,District of Columbia,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,690,17.1,1.022,1.71,37.68,78370,2.5,25.59,30.35,35.99,43.62,53.32,53220,63120,74860,90730,110910,,
11,DC,District of Columbia,13-1151,Training and Development Specialists,detailed,1230,5.7,1.825,1.03,38.1,79240,2.5,21.94,27.48,35.17,45.47,60.22,45630,57160,73140,94570,125250,,
11,DC,District of Columbia,13-1161,Market Research Analysts and Marketing Specialists,detailed,6570,6.6,9.732,2.81,35.97,74810,3.4,19.86,23.96,32.88,44.73,57.26,41300,49840,68400,93030,119100,,
11,DC,District of Columbia,13-1199,"Business Operations Specialists, All Other",detailed,30340,2,44.974,6.5,46.43,96580,2.9,25.87,33.27,43.23,54.49,76.19,53810,69190,89920,113340,158470,,
11,DC,District of Columbia,13-2011,Accountants and Auditors,detailed,10540,3,15.619,1.78,43.38,90220,5.3,24.65,30.5,40.58,53.39,66.41,51280,63440,84410,111050,138130,,
11,DC,District of Columbia,13-2021,Appraisers and Assessors of Real Estate,detailed,160,19.2,0.234,0.5,44.52,92590,2.4,31.39,37.3,44.21,50.51,57.46,65300,77590,91950,105070,119520,,
11,DC,District of Columbia,13-2031,Budget Analysts,detailed,1910,2.8,2.827,6.69,44.19,91920,2.1,30.34,37.56,44.67,50.43,56.2,63100,78130,92920,104900,116900,,
11,DC,District of Columbia,13-2051,Financial Analysts,detailed,4040,5.7,5.984,3.08,49.72,103420,3.1,27.1,33.45,42.44,59.26,80.72,56380,69570,88270,123260,167900,,
11,DC,District of Columbia,13-2052,Personal Financial Advisors,detailed,890,15.6,1.317,0.91,53.62,111530,10.6,23.42,28.14,36.71,65.23,#,48720,58540,76360,135680,#,,
11,DC,District of Columbia,13-2053,Insurance Underwriters,detailed,90,15.9,0.13,0.19,45.04,93670,12.3,23.06,28.82,44.54,60.75,70.54,47970,59950,92650,126360,146730,,
11,DC,District of Columbia,13-2061,Financial Examiners,detailed,540,1.6,0.805,2.95,66.94,139240,8.6,28.49,46.26,71.58,87.99,#,59270,96210,148880,183010,#,,
11,DC,District of Columbia,13-2071,Credit Counselors,detailed,100,14.6,0.152,0.69,29.17,60680,7.1,16.98,20.34,24.83,38.52,47.32,35320,42300,51650,80130,98420,,
11,DC,District of Columbia,13-2072,Loan Officers,detailed,560,19.7,0.835,0.38,37.6,78200,6.7,19.44,23.18,31.42,45.31,65.99,40430,48210,65350,94240,137260,,
11,DC,District of Columbia,13-2099,"Financial Specialists, All Other",detailed,3110,2,4.616,4.54,44.01,91550,3,25.53,33.36,42.42,49.9,61.71,53090,69400,88230,103790,128350,,
11,DC,District of Columbia,15-0000,Computer and Mathematical Occupations,major,37270,2.6,55.244,1.95,46.43,96570,3.4,25.84,34.37,46.34,57.67,67.5,53750,71490,96380,119960,140400,,
11,DC,District of Columbia,15-1111,Computer and Information Research Scientists,detailed,550,48.3,0.819,4.57,56.92,118390,2.6,46.53,52.04,56.31,61.65,73.02,96780,108240,117120,128230,151880,,
11,DC,District of Columbia,15-1121,Computer Systems Analysts,detailed,2890,7,4.291,1.1,49.36,102680,2.5,27.75,35.4,47.14,61.67,74.61,57730,73620,98040,128270,155190,,
11,DC,District of Columbia,15-1122,Information Security Analysts,detailed,690,8.7,1.02,1.72,50.69,105440,2.8,29.53,38.39,50.45,61.19,72.62,61430,79840,104930,127280,151040,,
11,DC,District of Columbia,15-1131,Computer Programmers,detailed,1470,13.5,2.18,0.97,43.1,89650,2.3,26.56,34.05,42.5,53.26,62.73,55250,70830,88400,110770,130480,,
11,DC,District of Columbia,15-1132,"Software Developers, Applications",detailed,3280,16.8,4.856,0.96,48.03,99900,3.6,30.95,35,47.29,58.83,70.15,64380,72800,98370,122370,145910,,
11,DC,District of Columbia,15-1133,"Software Developers, Systems Software",detailed,2390,7.7,3.541,1.25,47.86,99550,1.8,31.3,36.3,46.32,58.39,69.81,65100,75500,96340,121450,145210,,
11,DC,District of Columbia,15-1134,Web Developers,detailed,1240,10.2,1.845,2.06,37.84,78710,2,21.45,28.53,37.51,46.05,56.01,44620,59350,78020,95790,116490,,
11,DC,District of Columbia,15-1141,Database Administrators,detailed,960,10.9,1.43,1.72,44.34,92220,2.3,25.83,34.15,44.95,55.28,62.45,53720,71030,93500,114990,129890,,
11,DC,District of Columbia,15-1142,Network and Computer Systems Administrators,detailed,3380,7.6,5.014,1.85,42.82,89070,1.4,27.46,33.54,42.46,52.33,59.2,57120,69770,88320,108840,123140,,
11,DC,District of Columbia,15-1143,Computer Network Architects,detailed,1140,12,1.689,1.63,49.55,103070,3.9,25,36.1,51.75,62.96,72.14,51990,75090,107650,130960,150050,,
11,DC,District of Columbia,15-1151,Computer User Support Specialists,detailed,4520,7.6,6.7,1.61,31,64480,3.8,16.09,22.57,28.97,37.23,47.88,33470,46950,60250,77440,99580,,
11,DC,District of Columbia,15-1152,Computer Network Support Specialists,detailed,1050,9.6,1.557,1.21,40.64,84530,4,25.26,31.27,39.07,48.98,60.76,52530,65050,81260,101870,126390,,
11,DC,District of Columbia,15-1199,"Computer Occupations, All Other",detailed,10860,2,16.093,10.23,52.35,108890,2.7,33.19,43.41,53.33,61.31,68.77,69040,90290,110920,127520,143050,,
11,DC,District of Columbia,15-2011,Actuaries,detailed,170,6.9,0.253,1.59,54.5,113360,2.9,36.35,42.42,53.33,64.71,74.76,75620,88230,110930,134590,155500,,
11,DC,District of Columbia,15-2021,Mathematicians,detailed,90,46.3,0.128,5.52,56.62,117770,2.7,29.21,44.32,56.23,75.47,78.67,60750,92180,116960,156970,163640,,
11,DC,District of Columbia,15-2031,Operations Research Analysts,detailed,1340,6.9,1.99,3.09,50.96,105990,3.7,31.43,40.2,50.46,61.46,74.1,65380,83610,104950,127840,154140,,
11,DC,District of Columbia,15-2041,Statisticians,detailed,1200,7.4,1.772,8.88,49.98,103960,1.7,33.64,42.41,49.35,57.64,66.41,69960,88220,102650,119880,138140,,
11,DC,District of Columbia,17-0000,Architecture and Engineering Occupations,major,12480,6.1,18.501,1.03,49.2,102330,5.1,26.51,35.25,47.56,61.77,75.52,55140,73320,98920,128480,157080,,
11,DC,District of Columbia,17-1011,"Architects, Except Landscape and Naval",detailed,2050,6.5,3.034,4.61,40.73,84720,5.1,24.09,28.67,37.99,48.79,62.08,50110,59630,79020,101480,129130,,
11,DC,District of Columbia,17-2011,Aerospace Engineers,detailed,340,8,0.505,0.99,59.51,123770,2.7,37.04,48.4,63,71.85,76.76,77050,100670,131040,149450,159670,,
11,DC,District of Columbia,17-2031,Biomedical Engineers,detailed,40,13.5,0.058,0.39,36.17,75240,2.5,24.47,28.73,34.38,41.73,52.81,50890,59770,71500,86810,109850,,
11,DC,District of Columbia,17-2041,Chemical Engineers,detailed,100,13.3,0.142,0.57,53.16,110560,2.8,39.91,46.12,53.32,59.49,66.41,83020,95920,110910,123740,138140,,
11,DC,District of Columbia,17-2051,Civil Engineers,detailed,1050,11.9,1.553,0.8,47.82,99460,6,27.13,34.31,43.28,52.91,65.11,56430,71370,90020,110050,135420,,
11,DC,District of Columbia,17-2061,Computer Hardware Engineers,detailed,1100,38.5,1.627,2.88,54.78,113940,3.2,33.95,42.57,54.16,66.56,77.8,70620,88540,112660,138450,161820,,
11,DC,District of Columbia,17-2071,Electrical Engineers,detailed,380,6,0.559,0.43,49.64,103260,3.3,32.58,40,47.56,56.21,70.35,67770,83200,98920,116910,146330,,
11,DC,District of Columbia,17-2072,"Electronics Engineers, Except Computer",detailed,670,19.5,0.998,1.01,56.61,117750,2,35.07,45.92,56.21,71.06,75.53,72940,95520,116910,147810,157100,,
11,DC,District of Columbia,17-2081,Environmental Engineers,detailed,300,20.7,0.45,1.14,46.94,97630,2.7,33.14,39.2,47.56,54.5,57.39,68940,81540,98920,113360,119370,,
11,DC,District of Columbia,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,220,47.9,0.328,1.81,46.95,97650,2.4,29.34,39.67,47.61,55.73,62.33,61030,82500,99020,115920,129640,,
11,DC,District of Columbia,17-2112,Industrial Engineers,detailed,260,19.4,0.388,0.22,44.24,92030,3.3,30.26,33.73,42.52,53.66,61.29,62930,70150,88430,111620,127480,,
11,DC,District of Columbia,17-2121,Marine Engineers and Naval Architects,detailed,280,5.4,0.418,7.46,60.49,125810,2.7,40.68,49.3,63,72.11,75.53,84620,102540,131040,149990,157100,,
11,DC,District of Columbia,17-2131,Materials Engineers,detailed,140,38.6,0.209,1.13,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,DC,District of Columbia,17-2141,Mechanical Engineers,detailed,680,7.4,1.004,0.5,46.08,95850,3.4,30.27,35.56,44.95,55.02,66.68,62960,73960,93490,114440,138690,,
11,DC,District of Columbia,17-2161,Nuclear Engineers,detailed,100,1.5,0.142,1.16,71.51,148730,2.5,53.33,60.76,75.53,80.29,86.58,110920,126380,157100,166990,180090,,
11,DC,District of Columbia,17-2199,"Engineers, All Other",detailed,2790,2.6,4.139,4.49,60.69,126240,2.5,40.38,51.88,63.01,73.26,78.59,83980,107900,131060,152390,163460,,
11,DC,District of Columbia,17-3011,Architectural and Civil Drafters,detailed,440,16.6,0.645,0.95,25.98,54040,3.8,19.38,20.93,23.58,29.27,36.76,40300,43530,49040,60890,76460,,
11,DC,District of Columbia,17-3012,Electrical and Electronics Drafters,detailed,**,**,**,**,28.38,59040,8.2,24.21,25.41,27.4,29.39,36.24,50360,52850,57000,61120,75380,,
11,DC,District of Columbia,17-3021,Aerospace Engineering and Operations Technicians,detailed,**,**,**,**,30.22,62850,3.7,24.45,25.69,27.76,29.83,43.09,50850,53430,57730,62040,89630,,
11,DC,District of Columbia,17-3022,Civil Engineering Technicians,detailed,280,28.9,0.417,0.79,29,60320,10.1,15.3,21.13,30.84,37.27,40.1,31830,43940,64150,77520,83410,,
11,DC,District of Columbia,17-3023,Electrical and Electronics Engineering Technicians,detailed,400,9.6,0.587,0.58,37.6,78210,1.6,27.58,30.91,37.06,44.31,48.09,57360,64300,77080,92160,100020,,
11,DC,District of Columbia,17-3024,Electro-Mechanical Technicians,detailed,**,**,**,**,30.04,62490,4.1,22.8,26.8,31.42,34.59,36.5,47430,55740,65340,71950,75910,,
11,DC,District of Columbia,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,290,1.2,0.435,0.87,42.07,87510,2.9,32.36,36.39,42.42,46.7,53.32,67300,75700,88230,97130,110910,,
11,DC,District of Columbia,19-0000,"Life, Physical, and Social Science Occupations",major,22920,2.3,33.974,4.01,47.72,99260,4.7,19.75,30.33,46.05,61.82,75.52,41080,63090,95790,128590,157090,,
11,DC,District of Columbia,19-1012,Food Scientists and Technologists,detailed,**,**,**,**,35.14,73100,6.8,18.43,25.39,35.18,45.24,56.07,38340,52810,73170,94090,116630,,
11,DC,District of Columbia,19-1021,Biochemists and Biophysicists,detailed,50,9.2,0.078,0.33,30,62410,3.4,19.45,22.08,27.13,37.98,45.3,40460,45920,56440,79000,94220,,
11,DC,District of Columbia,19-1022,Microbiologists,detailed,60,2.4,0.085,0.56,51.55,107210,4.4,26.79,43.23,51.88,66.1,72.95,55730,89920,107910,137490,151740,,
11,DC,District of Columbia,19-1023,Zoologists and Wildlife Biologists,detailed,90,4.9,0.138,0.98,48.49,100870,7.4,27.33,35.71,46.12,61.3,75.52,56840,74270,95930,127510,157090,,
11,DC,District of Columbia,19-1029,"Biological Scientists, All Other",detailed,260,2,0.389,1.63,51.04,106160,2.4,27.57,34.38,44.4,69.49,81.07,57350,71510,92360,144540,168620,,
11,DC,District of Columbia,19-1031,Conservation Scientists,detailed,200,19.6,0.292,2.05,38.75,80610,4.7,23.39,29.32,36.21,47.56,57.7,48640,60990,75320,98920,120010,,
11,DC,District of Columbia,19-1041,Epidemiologists,detailed,**,**,**,**,49.61,103180,8.4,26.3,34.24,40.21,48.58,#,54710,71220,83640,101040,#,,
11,DC,District of Columbia,19-1042,"Medical Scientists, Except Epidemiologists",detailed,840,40.2,1.246,1.67,45.9,95470,4.1,23.16,27.93,40.36,59.61,72.17,48180,58090,83960,123980,150120,,
11,DC,District of Columbia,19-2012,Physicists,detailed,460,3,0.682,5.49,61.04,126950,2.5,42.61,52.05,56.78,75.52,75.53,88630,108270,118110,157090,157100,,
11,DC,District of Columbia,19-2031,Chemists,detailed,290,11.4,0.431,0.68,54.74,113860,4.3,33.89,47.26,56.2,66.41,75.52,70490,98310,116890,138130,157090,,
11,DC,District of Columbia,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,1570,5.1,2.326,3.54,51.72,107570,3.6,29.09,40.43,51.87,64.71,74.11,60510,84100,107900,134590,154150,,
11,DC,District of Columbia,19-2099,"Physical Scientists, All Other",detailed,610,4.6,0.902,5.29,59.02,122760,3.7,40,47.91,61.31,72.12,75.53,83190,99640,127520,150010,157100,,
11,DC,District of Columbia,19-3011,Economists,detailed,6260,5.2,9.276,67.08,57.96,120550,2.6,28.96,39.55,53.32,71.08,#,60240,82260,110910,147840,#,,
11,DC,District of Columbia,19-3022,Survey Researchers,detailed,580,20.4,0.865,7.58,40.86,85000,5.6,19.42,26,36.05,47.86,70.38,40390,54080,74990,99560,146380,,
11,DC,District of Columbia,19-3031,"Clinical, Counseling, and School Psychologists",detailed,390,11.4,0.573,0.74,39.78,82740,4.4,18.03,26.61,36.01,47.55,76.88,37510,55350,74890,98900,159920,,
11,DC,District of Columbia,19-3039,"Psychologists, All Other",detailed,220,11,0.328,3.7,43.94,91400,3,23.28,37.65,46.12,51.88,59.11,48420,78300,95920,107900,122950,,
11,DC,District of Columbia,19-3041,Sociologists,detailed,100,25.6,0.151,9.13,54.2,112740,5.3,29.64,33.88,44.34,69.87,#,61660,70480,92220,145340,#,,
11,DC,District of Columbia,19-3051,Urban and Regional Planners,detailed,130,0,0.192,0.72,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,DC,District of Columbia,19-3091,Anthropologists and Archeologists,detailed,60,5.7,0.093,1.79,43.69,90870,6.6,21.64,33.36,43.24,54.76,61.31,45000,69400,89930,113900,127510,,
11,DC,District of Columbia,19-3093,Historians,detailed,300,20.5,0.451,18.92,44.1,91730,5.5,18.45,36.36,47.26,54.76,61.3,38380,75630,98300,113910,127510,,
11,DC,District of Columbia,19-3094,Political Scientists,detailed,3250,4.5,4.82,115.48,53.57,111420,3.1,30.34,43.24,56.19,66.41,72.82,63110,89940,116880,138140,151460,,
11,DC,District of Columbia,19-3099,"Social Scientists and Related Workers, All Other",detailed,2930,3.1,4.348,18.35,49.1,102130,2.8,31.03,38.5,44.68,56.2,73.15,64550,80080,92920,116900,152140,,
11,DC,District of Columbia,19-4021,Biological Technicians,detailed,290,17.1,0.431,0.8,22.15,46080,2.1,14.94,17.3,21.86,26.82,29.5,31070,35990,45480,55780,61370,,
11,DC,District of Columbia,19-4031,Chemical Technicians,detailed,80,12.8,0.119,0.25,*,*,*,*,*,*,*,*,*,*,*,*,*,,
11,DC,District of Columbia,19-4061,Social Science Research Assistants,detailed,2790,3.2,4.134,20.11,20.18,41970,5.3,11.84,15.35,18.55,22.94,29.13,24640,31930,38580,47710,60590,,
11,DC,District of Columbia,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,**,**,**,**,23.66,49210,18.2,10.65,12.07,19.16,35.95,41.16,22160,25100,39860,74770,85610,,
11,DC,District of Columbia,19-4092,Forensic Science Technicians,detailed,110,0,0.17,1.69,37.54,78090,1.9,22.68,26.31,35.92,43.26,57.51,47170,54720,74710,89970,119620,,
11,DC,District of Columbia,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,340,14.8,0.499,1,33.11,68860,7.7,18.61,23.92,27.33,42.45,59.21,38700,49750,56850,88300,123150,,
11,DC,District of Columbia,21-0000,Community and Social Service Occupations,major,12290,5.3,18.211,1.27,26.02,54110,3.4,12.91,16.71,23.54,32.96,42.93,26860,34770,48970,68560,89300,,
11,DC,District of Columbia,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,160,13,0.231,0.37,24.97,51930,5.4,15.46,17.45,22.93,29.22,35.55,32150,36290,47690,60770,73940,,
11,DC,District of Columbia,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,1480,13.8,2.201,1.21,30.22,62850,4.2,16.7,21.69,27.83,36.57,45.96,34730,45110,57890,76070,95590,,
11,DC,District of Columbia,21-1014,Mental Health Counselors,detailed,1470,17.9,2.173,2.45,20.61,42870,9.3,10.38,13.51,18.41,26.62,35.07,21590,28110,38290,55370,72950,,
11,DC,District of Columbia,21-1015,Rehabilitation Counselors,detailed,890,16.5,1.312,1.71,17.9,37240,10.1,11.81,12.89,14.66,21.69,27.99,24550,26800,30490,45110,58210,,
11,DC,District of Columbia,21-1019,"Counselors, All Other",detailed,80,33.5,0.117,0.56,19.46,40480,9.8,10.38,11.86,19.73,23.86,29.34,21600,24680,41040,49620,61020,,
11,DC,District of Columbia,21-1021,"Child, Family, and School Social Workers",detailed,1960,10.5,2.909,1.37,28.42,59110,5,16.66,22.65,28.05,34.99,40.79,34650,47120,58340,72790,84840,,
11,DC,District of Columbia,21-1022,Healthcare Social Workers,detailed,480,7.6,0.716,0.66,30.96,64390,5,14.67,24.4,30.84,36.76,46.02,30510,50760,64150,76460,95720,,
11,DC,District of Columbia,21-1023,Mental Health and Substance Abuse Social Workers,detailed,370,17.4,0.543,0.67,24.26,50470,3.2,15.96,18.7,22.74,28.31,37.06,33190,38890,47310,58880,77080,,
11,DC,District of Columbia,21-1029,"Social Workers, All Other",detailed,260,6.9,0.384,0.84,35.4,73630,3.2,25.08,31.26,36.36,41.2,44.84,52160,65010,75620,85700,93260,,
11,DC,District of Columbia,21-1091,Health Educators,detailed,870,14.7,1.287,3.05,39.22,81580,5,20.29,27.99,39.15,48.93,60.42,42200,58210,81430,101780,125680,,
11,DC,District of Columbia,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,70,26.1,0.102,0.16,30.4,63240,9.7,19.69,24.6,32.71,35.15,38.08,40950,51160,68030,73110,79210,,
11,DC,District of Columbia,21-1093,Social and Human Service Assistants,detailed,2190,13.9,3.246,1.24,20.36,42340,6.8,12.6,14.66,17.62,21.74,29.46,26220,30490,36660,45210,61280,,
11,DC,District of Columbia,21-1094,Community Health Workers,detailed,630,10.4,0.937,2.64,31.32,65150,9,12.73,19.69,29.13,40.47,52.94,26480,40950,60580,84180,110110,,
11,DC,District of Columbia,21-1099,"Community and Social Service Specialists, All Other",detailed,860,24.9,1.27,1.83,21.39,44480,7.4,10.63,15.12,20.7,25.27,35.14,22110,31440,43050,52570,73100,,
11,DC,District of Columbia,21-2011,Clergy,detailed,250,47.9,0.368,1.07,28.12,58490,4.3,15.69,17.71,29.79,35.16,41.49,32640,36840,61960,73130,86290,,
