AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11,DC,District of Columbia,00-0000,All Occupations,total,676060,0.6,1000,1,38.54,80150,6.4,11.49,18.05,31.75,51.88,72.98,23890,37540,66040,107900,151800,,
11,DC,District of Columbia,11-0000,Management Occupations,major,80410,1.1,118.934,2.36,66.05,137390,1.9,33.3,49.61,62.58,76.29,#,69260,103180,130170,158690,#,,
11,DC,District of Columbia,11-1011,Chief Executives,detailed,3110,7.2,4.594,2.65,94.03,195580,3.7,36.27,66.34,89.6,#,#,75430,137980,186370,#,#,,
11,DC,District of Columbia,11-1021,General and Operations Managers,detailed,23490,2.3,34.739,2.23,69.31,144170,2.5,32.6,51.28,64.74,79.11,#,67810,106660,134670,164550,#,,
11,DC,District of Columbia,11-2011,Advertising and Promotions Managers,detailed,210,9.2,0.306,1.44,44.22,91970,7.3,20.8,28.81,43.45,56.57,73.27,43270,59920,90370,117660,152410,,
11,DC,District of Columbia,11-2021,Marketing Managers,detailed,1210,6.8,1.795,1.28,74.53,155020,3.3,39.37,50.96,70.15,#,#,81900,106000,145910,#,#,,
11,DC,District of Columbia,11-2022,Sales Managers,detailed,1150,8.6,1.707,0.65,59.92,124640,4.9,26.01,34.53,52.86,74.79,#,54100,71820,109950,155560,#,,
11,DC,District of Columbia,11-2031,Public Relations and Fundraising Managers,detailed,3500,9.8,5.182,11.83,73.87,153640,3.8,32.96,44.34,66.77,#,#,68560,92220,138880,#,#,,
11,DC,District of Columbia,11-3011,Administrative Services Managers,detailed,1680,5.4,2.489,1.27,50.61,105270,2.3,28.28,35.2,47.21,60.31,75.76,58820,73210,98200,125440,157580,,
11,DC,District of Columbia,11-3021,Computer and Information Systems Managers,detailed,3680,3.1,5.445,2.2,73.32,152500,2.1,51.91,63.43,72.83,78.7,#,107970,131940,151490,163700,#,,
11,DC,District of Columbia,11-3031,Financial Managers,detailed,6900,1.8,10.21,2.65,72.78,151390,4.3,47.32,56.76,67.07,78.77,#,98430,118050,139510,163840,#,,
11,DC,District of Columbia,11-3051,Industrial Production Managers,detailed,40,22.7,0.057,0.05,60.4,125630,13.9,27.84,38.03,55.93,70.81,#,57900,79100,116320,147290,#,,
11,DC,District of Columbia,11-3061,Purchasing Managers,detailed,1610,1,2.383,4.53,63.15,131350,2.9,51.6,56.75,61.92,70.81,76.29,107320,118050,128790,147290,158690,,
11,DC,District of Columbia,11-3071,"Transportation, Storage, and Distribution Managers",detailed,410,5.2,0.61,0.77,59.3,123350,4.4,27.8,49.49,61.92,72.83,76.58,57820,102940,128790,151490,159290,,
11,DC,District of Columbia,11-3111,Compensation and Benefits Managers,detailed,120,9.9,0.177,1.53,60.97,126820,3.1,42.3,50.53,58.35,70.43,83.4,87990,105100,121360,146500,173470,,
11,DC,District of Columbia,11-3121,Human Resources Managers,detailed,1440,2.6,2.135,2.4,70.15,145910,2,45.7,58.79,69.27,76.3,#,95050,122290,144080,158700,#,,
11,DC,District of Columbia,11-3131,Training and Development Managers,detailed,260,12.1,0.383,1.68,63.95,133020,4.8,30.16,44.21,56.3,77.54,#,62740,91960,117110,161290,#,,
